dummy,SMILES_rad,BDE kJ
NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)F,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)F,517.950079
OC[C](F)C(F)C(F)(F)F,OC[C](F)C(F)C(F)(F)F,532.70615
OC[C](F)C(F)(F)C(F)(F)F,OC[C](F)C(F)(F)C(F)(F)F,532.956164
OCC(F)(F)[C](F)C(F)(F)F,OCC(F)(F)[C](F)C(F)(F)F,531.653461
OC[C](F)C(F)(F)C(F)(F)C(F)(F)F,OC[C](F)C(F)(F)C(F)(F)C(F)(F)F,529.961263
OCC(F)(F)[C](F)C(F)(F)C(F)(F)F,OCC(F)(F)[C](F)C(F)(F)C(F)(F)F,527.976943
OCC(F)(F)C(F)(F)[C](F)C(F)(F)F,OCC(F)(F)C(F)(F)[C](F)C(F)(F)F,522.345057
OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,523.487225
OCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,OCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,516.857914
OCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)F,OCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)F,519.102774
OCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)F,OCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)F,516.489473
OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,522.637178
OCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,513.576156
