Filename,SMILES_rad,BDE_kJ,CS_Filename,SMILES_CS,SMILES_react
CC-4F1B_rad,C=C[C](C(C(F)(F)F)(C(C(F)(F)F)(F)F)F)F,441.061699,CC-4F1B,C=CC(F)(C(C(F)(F)F)(C(C(F)(F)F)(F)F)F)F,C=CC(F)(C(C(F)(F)F)(C(C(F)(F)F)(F)F)F)F>C=C[C](C(C(F)(F)F)(C(C(F)(F)F)(F)F)F)F
NCH32-1F1H_rad,[C](F)(N(C)C)C,517.1359714,NCH32-1F1H,C(F)(F)(N(C)C)C,C(F)(F)(N(C)C)C>[C](F)(N(C)C)C
CH3PO2H-1F1H_rad,[C](F)(C)P(=O)(O)C,487.5303141,CH3PO2H-1F1H,C(F)(F)(C)P(=O)(O)C,C(F)(F)(C)P(=O)(O)C>[C](F)(C)P(=O)(O)C
NCH32-4F1B_rad,[C](F)(N(C)C)C(F)(C(F)(F)F)C(F)(C(F)(F)F)F,481.788627,NCH32-4F1B,C(F)(F)(N(C)C)C(F)(C(F)(F)F)C(F)(C(F)(F)F)F,C(F)(F)(N(C)C)C(F)(C(F)(F)F)C(F)(C(F)(F)F)F>[C](F)(N(C)C)C(F)(C(F)(F)F)C(F)(C(F)(F)F)F
COH-1Fo2Fo1F_rad,[C](F)(C=O)OC(F)(C(OC(F)(F)F)(F)F)F,463.6119892,COH-1Fo2Fo1F,C(F)(F)(C=O)OC(F)(C(OC(F)(F)F)(F)F)F,C(F)(F)(C=O)OC(F)(C(OC(F)(F)F)(F)F)F>[C](F)(C=O)OC(F)(C(OC(F)(F)F)(F)F)F
PO3H-1FiPF_rad,[C](C(C(F)(F)F)(F)C(F)(F)F)(F)P(=O)(O)[O-],476.43975,PO3H-1FiPF,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(F)P(=O)(O)[O-],C(F)(C(C(F)(F)F)(F)C(F)(F)F)(F)P(=O)(O)[O-]>[C](C(C(F)(F)F)(F)C(F)(F)F)(F)P(=O)(O)[O-]
OCH3-5F_rad,[C](F)(OC)C(F)(F)C(F)(C(F)(F)C(F)(F)F)F,524.2894296,OCH3-5F,C(F)(F)(OC)C(F)(F)C(F)(C(F)(F)C(F)(F)F)F,C(F)(F)(OC)C(F)(F)C(F)(C(F)(F)C(F)(F)F)F>[C](F)(OC)C(F)(F)C(F)(C(F)(F)C(F)(F)F)F
CF3-1FtBF_rad,[C](C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)(F)C(F)(F)F,478.9896501,CF3-1FtBF,C(F)(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)(F)C(F)(F)F,C(F)(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)(F)C(F)(F)F>[C](C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)(F)C(F)(F)F
CH3PO2H-2F_rad,[C](F)(C(F)(F)F)P(=O)(O)C,484.6899851,CH3PO2H-2F,C(F)(F)(C(F)(F)F)P(=O)(O)C,C(F)(F)(C(F)(F)F)P(=O)(O)C>[C](F)(C(F)(F)F)P(=O)(O)C
COOH-1F_rad,[C](F)(C(=O)O)F,502.8459511,COOH-1F,C(F)(F)(C(=O)O)F,C(F)(F)(C(=O)O)F>[C](F)(C(=O)O)F
SO3-2FtBF_rad,[C](C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)S([O-])(=O)(=O),431.717172,SO3-2FtBF,C(F)(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)S([O-])(=O)(=O),C(F)(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)S([O-])(=O)(=O)>[C](C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)S([O-])(=O)(=O)
PO3H-1Fo2Fo1F_rad,[C](F)(OC(C(OC(F)(F)F)(F)F)(F)F)P(=O)(O)[O-],507.8359638,PO3H-1Fo2Fo1F,C(F)(F)(OC(C(OC(F)(F)F)(F)F)(F)F)P(=O)(O)[O-],C(F)(F)(OC(C(OC(F)(F)F)(F)F)(F)F)P(=O)(O)[O-]>[C](F)(OC(C(OC(F)(F)F)(F)F)(F)F)P(=O)(O)[O-]
CH3PO2H-1Fo1Fo1F_rad,[C](F)(OC(F)(OC(F)(F)F)F)P(=O)(O)C,498.1527846,CH3PO2H-1Fo1Fo1F,C(F)(F)(OC(F)(OC(F)(F)F)F)P(=O)(O)C,C(F)(F)(OC(F)(OC(F)(F)F)F)P(=O)(O)C>[C](F)(OC(F)(OC(F)(F)F)F)P(=O)(O)C
NH2-4F1B_rad,[C](F)(N)C(C(F)(F)F)(F)C(F)(C(F)(F)F)F,488.6026555,NH2-4F1B,C(F)(F)(N)C(C(F)(F)F)(F)C(F)(C(F)(F)F)F,C(F)(F)(N)C(C(F)(F)F)(F)C(F)(C(F)(F)F)F>[C](F)(N)C(C(F)(F)F)(F)C(F)(C(F)(F)F)F
CF3-2F1H_rad,[C](F)(C(F)(F)F)C(F)(F)C,504.6527625,CF3-2F1H,C(F)(F)(C(F)(F)F)C(F)(F)C,C(F)(F)(C(F)(F)F)C(F)(F)C>[C](F)(C(F)(F)F)C(F)(F)C
SH-1F1FFH_rad,[C](F)(S)C(F)F,489.1325281,SH-1F1FFH,C(F)(F)(S)C(F)F,C(F)(F)(S)C(F)F>[C](F)(S)C(F)F
SO3H-1F_rad,[C](F)(F)S(=O)(=O)O,522.6274223,SO3H-1F,C(F)(F)(F)S(=O)(=O)O,C(F)(F)(F)S(=O)(=O)O>[C](F)(F)S(=O)(=O)O
CF3-1F1H1F_rad,[C](F)(C(F)(F)F)CC(F)(F)F,498.0640125,CF3-1F1H1F,C(F)(F)(C(F)(F)F)CC(F)(F)F,C(F)(F)(C(F)(F)F)CC(F)(F)F>[C](F)(C(F)(F)F)CC(F)(F)F
COOH-5F_rad2,C(F)(C(=O)O)([C](F)C(F)(C(F)(F)C(F)(F)F)F)F,490.0969606,COOH-5F,C(F)(F)(C(=O)O)C(F)(F)C(F)(C(F)(F)C(F)(F)F)F,C(F)(F)(C(=O)O)C(F)(F)C(F)(C(F)(F)C(F)(F)F)F>C(F)(C(=O)O)([C](F)C(F)(C(F)(F)C(F)(F)F)F)F
